"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(mo_smile)","(mo_smile)",1.0,0.0,1.0,100
"(mo_smile;mother-speech;inf_smile)","(mo_smile;mother-speech;inf_smile)",0.8666666666666667,1.0,0.0,15
"(mo_smile;i_gaze_at;infant_voc)","(mo_smile;i_gaze_at;infant_voc)",0.0,0.08333333333333333,0.0,12
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.33962264150943394,0.4716981132075472,0.0,53
"(mo_smile)","(mo_smile)",0.01,0.77,0.0,100
"(m_gaze_away)","(m_gaze_away)",0.0,0.9090909090909091,0.0,55
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",0.014705882352941176,0.27941176470588236,0.0,68
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.0,0.0,0.0,18
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.0,0.0,0.0,13
"(infant_voc;inf_smile;i_gaze_at_object)","(infant_voc;inf_smile;i_gaze_at_object)",0.0,0.38461538461538464,1.0,13
"(mother-speech)","(mother-speech)",0.0,0.48,0.0,100
"(infant_voc)","(infant_voc)",0.013513513513513514,0.9459459459459459,0.13513513513513514,74
"(mo_smile;m_gaze_at;infant_voc)","(mo_smile;m_gaze_at;infant_voc)",0.0,0.6,0.0,5
"(mo_smile;mother-speech;i_gaze_at)","(mo_smile;mother-speech;i_gaze_at)",0.0,0.8,0.0,10
"(m_gaze_at;mother-speech;i_gaze_at;infant_voc)","(m_gaze_at;mother-speech;i_gaze_at;infant_voc)",0.0,0.6470588235294118,0.0,17
"(i_gaze_at)","(i_gaze_at)",0.0,0.28,0.0,25
"(m_gaze_at;mother-speech;infant_voc)","(m_gaze_at;mother-speech;infant_voc)",0.0,1.0,0.0,8
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.375,0.0,16
"(mother-speech)","(mother-speech)",0.0,0.8461538461538461,0.0,52
"(infant_voc;inf_smile)","(infant_voc;inf_smile)",0.0,0.2,0.0,10
"(mo_smile;i_gaze_at;infant_voc)","(mo_smile;i_gaze_at;infant_voc)",0.0,0.5925925925925926,0.0,27
"(mother-speech;i_gaze_at;inf_smile)","(mother-speech;i_gaze_at;inf_smile)",0.0,0.9565217391304348,0.0,23
"(mo_smile;i_gaze_at;inf_smile)","(mo_smile;i_gaze_at;inf_smile)",1.0,0.0,0.47058823529411764,17
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.03773584905660377,0.0,0.0,53
"(mo_smile;i_gaze_at;infant_voc;inf_smile)","(mo_smile;i_gaze_at;infant_voc;inf_smile)",0.0,0.14285714285714285,0.0,7
"(mo_smile;inf_smile;i_gaze_away)","(mo_smile;inf_smile;i_gaze_away)",0.17647058823529413,0.0,0.0,17
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.9736842105263158,0.039473684210526314,76
"(mo_smile;m_gaze_at;i_gaze_at)","(mo_smile;m_gaze_at;i_gaze_at)",0.0,0.0,0.0,6
"(inf_smile;i_gaze_at_object)","(inf_smile;i_gaze_at_object)",0.0,0.9857142857142858,0.9857142857142858,70
"(mo_smile;infant_voc;inf_smile)","(mo_smile;infant_voc;inf_smile)",0.1111111111111111,0.3333333333333333,0.0,9
"(mo_smile;mother-speech;i_gaze_away;m_gaze_at_object)","(mo_smile;mother-speech;i_gaze_away;m_gaze_at_object)",0.0,1.0,0.16666666666666666,6
"(m_gaze_at_object)","(m_gaze_at_object)",0.1,0.01,0.16,100
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.0,0.0,0.0,16
"(m_gaze_at;inf_smile;i_gaze_away)","(m_gaze_at;inf_smile;i_gaze_away)",0.023809523809523808,0.9285714285714286,0.2619047619047619,42
"(m_gaze_at;i_gaze_at;infant_voc)","(m_gaze_at;i_gaze_at;infant_voc)",0.0,0.46153846153846156,0.0,13
"(i_gaze_at;infant_voc;inf_smile)","(i_gaze_at;infant_voc;inf_smile)",0.0,0.7333333333333333,0.0,15
"(mo_smile;m_gaze_at;infant_voc)","(mo_smile;m_gaze_at;infant_voc)",0.0,0.9285714285714286,0.0,14
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.0,0.41935483870967744,0.0,31
