"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(mother-speech;infant_voc;i_gaze_away)","(m_gaze_at_object)",0.112,1,0.192,0.9,1.0,1.0,10
"(m_gaze_away)","(i_gaze_at;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,33
"(infant_voc;inf_smile;i_gaze_at)","(mother-speech;m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,5
"(m_gaze_at_object;inf_smile;i_gaze_away)","(mother-speech;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;m_gaze_at)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,25
"(mother-speech;mo_smile;infant_voc)","(i_gaze_at_object;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(mo_smile;m_gaze_at;infant_voc;inf_smile)","(i_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;i_gaze_at;infant_voc;m_gaze_at_object)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,6
"(i_gaze_away;inf_smile;m_gaze_away)","(mo_smile;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;inf_smile)","(mo_smile;m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,7
"(infant_voc;inf_smile;i_gaze_away)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,12
"(i_gaze_away;infant_voc;m_gaze_at)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,7
"(i_gaze_at_object;infant_voc;mo_smile)","(m_gaze_at_object;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc;mother-speech;m_gaze_at;i_gaze_at)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;i_gaze_at;infant_voc;inf_smile)","(m_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,3
"(inf_smile;infant_voc)","(m_gaze_at_object;mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;m_gaze_at;inf_smile;infant_voc)","(mo_smile;i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at;mo_smile;infant_voc;i_gaze_at)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,8
"(mo_smile;m_gaze_at_object;inf_smile;infant_voc)","(mother-speech;i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at;i_gaze_at_object;infant_voc;mo_smile;inf_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,2
"(mother-speech;infant_voc;m_gaze_at)","(i_gaze_at;inf_smile;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at_object;mo_smile;i_gaze_at;infant_voc)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,5
"(i_gaze_at;mo_smile;m_gaze_away)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,9
"(inf_smile;m_gaze_at;mother-speech)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;mo_smile;inf_smile;m_gaze_at_object;infant_voc)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at_object;mother-speech;mo_smile)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,10
"(m_gaze_at_object;mother-speech;mo_smile;infant_voc)","(i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,5
"(infant_voc;mo_smile;inf_smile)","(i_gaze_at;m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,2
"(m_gaze_at_object;mother-speech)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,48
"(mother-speech;inf_smile;m_gaze_at;infant_voc)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,5
"(m_gaze_at;mother-speech;infant_voc;mo_smile)","(inf_smile;i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,2
"(m_gaze_at_object;mother-speech;i_gaze_at_object;infant_voc)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,4
"(mother-speech;i_gaze_at;infant_voc)","(mo_smile;inf_smile)",0.254,2,3.814,0.0,1.0,0.0,7
"(m_gaze_at;i_gaze_at_object;mother-speech)","(mo_smile;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,3
