"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(mo_smile;i_gaze_away;m_gaze_at_object)","(mother-speech)",0.488,12,10.198,0.0,0.8947368421052632,0.6842105263157895,19
"(mother-speech;i_gaze_at)","(mo_smile;m_gaze_at)",0.326,84,148.021,0.0,0.13333333333333333,0.0,15
"(m_gaze_at;mother-speech;i_gaze_at)","(mo_smile;inf_smile)",0.242,49,67.434,0.0,0.0,0.0,12
"(mother-speech)","(m_gaze_at;inf_smile)",0.204,121,168.286,0.0,0.7532467532467533,0.0,77
"(mo_smile;mother-speech;inf_smile)","(i_gaze_at)",0.686,7,70.257,0.0,0.8571428571428571,0.0,14
"(m_gaze_at;inf_smile;i_gaze_at_object)","(mo_smile)",0.67,3,7.154,0.0,0.9807692307692307,1.0,52
"(m_gaze_at;inf_smile)","(mo_smile;mother-speech)",0.318,158,146.628,0.0,0.0,0.0,21
"(mother-speech)","(i_gaze_at_object)",0.158,56,130.671,0.98,0.03,0.97,100
"(m_gaze_at;mother-speech;i_gaze_at;infant_voc)","(mo_smile;inf_smile)",0.375,2,3.681,0.0,1.0,0.0,5
"(mo_smile;m_gaze_away)","(inf_smile)",0.631,1,20.32,0.017543859649122806,1.0,0.0,57
"(mother-speech;inf_smile)","(mo_smile;m_gaze_at)",0.342,32,77.143,0.0,0.75,0.0,20
"(mo_smile;infant_voc)","(i_gaze_at)",0.645,5,33.622,0.014492753623188406,0.7536231884057971,0.4057971014492754,69
"(m_gaze_at;infant_voc)","(mo_smile;inf_smile)",0.203,16,20.042,0.0,0.23809523809523808,0.0,21
"(mo_smile;m_gaze_at;i_gaze_at)","(mother-speech)",0.478,245,254.574,0.0,0.0,0.0,8
"(mo_smile;i_gaze_at;infant_voc)","(m_gaze_at;mother-speech)",0.296,19,10.545,0.0,0.1111111111111111,0.0,18
"(mo_smile;m_gaze_at_object)","(i_gaze_at;inf_smile)",0.172,10,34.719,0.047619047619047616,1.0,1.0,21
"(m_gaze_at;mother-speech)","(i_gaze_at;inf_smile)",0.264,90,115.784,0.0,0.0,0.0,31
"(m_gaze_at;i_gaze_at;inf_smile)","(mother-speech)",0.538,129,155.138,0.0,0.6,0.0,30
"(mother-speech)","(inf_smile)",0.322,114,265.591,0.05,0.99,0.01,100
"(m_gaze_at;mother-speech;infant_voc)","(inf_smile)",0.368,4,5.911,0.023255813953488372,0.7906976744186046,0.18604651162790697,43
"(m_gaze_at;i_gaze_at)","(mo_smile)",0.477,186,604.216,0.0,0.0,0.0,75
"(m_gaze_away;i_gaze_away)","(inf_smile)",0.855,1,14.876,0.0,1.0,0.0,10
"(mo_smile;mother-speech)","(m_gaze_at;i_gaze_at)",0.525,45,149.164,0.0,0.3888888888888889,0.0,18
"(m_gaze_at)","(mo_smile;mother-speech)",0.217,480,407.174,0.0,0.0,0.0,24
"(i_gaze_at)","(m_gaze_at)",0.674,247,1355.836,0.0,0.97,0.0,100
"(mo_smile;i_gaze_at;inf_smile)","(m_gaze_at)",0.685,27,165.557,0.0,0.4375,0.0,16
"(m_gaze_at;inf_smile)","(mo_smile;i_gaze_at)",0.393,55,181.406,0.0,0.6,0.0,45
"(m_gaze_at;infant_voc)","(i_gaze_at)",0.731,5,72.152,0.0,0.9647058823529412,0.047058823529411764,85
"(m_gaze_at;i_gaze_at;inf_smile)","(mo_smile)",0.586,38,168.872,0.0,0.43333333333333335,0.0,30
"(infant_voc;inf_smile)","(m_gaze_at;mother-speech;i_gaze_at)",0.215,14,12.672,0.0,0.4444444444444444,0.0,9
"(mo_smile;i_gaze_at;infant_voc)","(m_gaze_at;inf_smile)",0.403,8,14.328,0.0,0.2777777777777778,0.0,18
"(m_gaze_at;infant_voc)","(mother-speech;inf_smile)",0.159,21,15.75,0.0,0.6666666666666666,0.027777777777777776,36
"(mo_smile;i_gaze_at;inf_smile)","(infant_voc)",0.124,40,30.071,0.42857142857142855,0.0,0.0,7
"(m_gaze_at;i_gaze_at)","(mo_smile;inf_smile)",0.174,148,221.447,0.0,0.0,0.0,39
"(mo_smile;i_gaze_at;m_gaze_at_object)","(inf_smile)",0.375,6,31.013,0.0,1.0,0.8181818181818182,22
"(m_gaze_away)","(mo_smile;i_gaze_away)",0.333,3,20.991,0.0,0.8666666666666667,0.0,15
"(mo_smile)","(inf_smile)",0.342,150,441.91,0.0,0.97,0.0,100
"(m_gaze_away;i_gaze_at_object)","(mo_smile)",0.619,2,7.573,0.058823529411764705,0.4117647058823529,0.0,17
"(inf_smile)","(infant_voc)",0.116,157,110.582,0.0,0.0,0.0,10
"(m_gaze_at)","(mo_smile;i_gaze_at)",0.346,245,649.267,0.0,0.019230769230769232,0.0,52
"(mo_smile;infant_voc;inf_smile)","(m_gaze_at;i_gaze_at)",0.626,3,13.279,0.0,0.7777777777777778,0.0,9
"(m_gaze_at;inf_smile)","(infant_voc)",0.139,85,64.315,0.0,0.16,0.0,25
"(m_gaze_at;mother-speech;infant_voc;inf_smile)","(mo_smile)",0.637,1,3.285,0.0,1.0,0.0,8
